steps,rewards
0,40.0
1,12.0
2,82.0
3,43.0
4,10.0
5,13.0
6,11.0
7,12.0
8,27.0
9,13.0
10,9.0
11,13.0
12,12.0
13,18.0
14,9.0
15,16.0
16,21.0
17,17.0
18,10.0
19,10.0
20,22.0
21,11.0
22,19.0
23,14.0
24,13.0
25,13.0
26,15.0
27,13.0
28,10.0
29,13.0
30,11.0
31,13.0
32,10.0
33,9.0
34,13.0
35,10.0
36,11.0
37,10.0
38,13.0
39,9.0
40,9.0
41,9.0
42,22.0
43,10.0
44,12.0
45,8.0
46,10.0
47,13.0
48,11.0
49,9.0
50,11.0
51,15.0
52,14.0
53,9.0
54,12.0
55,12.0
56,10.0
57,8.0
58,12.0
59,12.0
60,11.0
61,13.0
62,10.0
63,11.0
64,14.0
65,10.0
66,10.0
67,10.0
68,15.0
69,11.0
70,9.0
71,12.0
72,13.0
73,13.0
74,9.0
75,8.0
76,10.0
77,12.0
78,11.0
79,20.0
80,10.0
81,10.0
82,37.0
83,10.0
84,12.0
85,17.0
86,10.0
87,26.0
88,10.0
89,8.0
90,10.0
91,10.0
92,9.0
93,9.0
94,8.0
95,10.0
96,10.0
97,10.0
98,10.0
99,14.0
100,12.0
101,10.0
102,8.0
103,9.0
104,11.0
105,11.0
106,10.0
107,9.0
108,11.0
109,10.0
110,11.0
111,10.0
112,10.0
113,11.0
114,10.0
115,8.0
116,9.0
117,8.0
118,36.0
119,12.0
120,11.0
121,10.0
122,9.0
123,9.0
124,39.0
125,9.0
126,10.0
127,9.0
128,10.0
129,9.0
130,12.0
131,10.0
132,10.0
133,20.0
134,9.0
135,9.0
136,10.0
137,10.0
138,10.0
139,9.0
140,10.0
141,9.0
142,23.0
143,9.0
144,8.0
145,25.0
146,8.0
147,9.0
148,10.0
149,9.0
150,11.0
151,9.0
152,8.0
153,11.0
154,11.0
155,10.0
156,10.0
157,9.0
158,11.0
159,10.0
160,10.0
161,22.0
162,12.0
163,11.0
164,10.0
165,9.0
166,10.0
167,10.0
168,32.0
169,12.0
170,9.0
171,35.0
172,10.0
173,16.0
174,10.0
175,24.0
176,11.0
177,11.0
178,10.0
179,9.0
180,20.0
181,14.0
182,15.0
183,12.0
184,11.0
185,10.0
186,12.0
187,9.0
188,11.0
189,14.0
190,22.0
191,16.0
192,12.0
193,17.0
194,13.0
195,12.0
196,30.0
197,13.0
198,9.0
199,11.0
200,11.0
201,18.0
202,11.0
203,15.0
204,9.0
205,25.0
206,10.0
207,10.0
208,15.0
209,18.0
210,10.0
211,13.0
212,26.0
213,17.0
214,30.0
215,14.0
216,27.0
217,16.0
218,13.0
219,10.0
220,10.0
221,12.0
222,13.0
223,40.0
224,14.0
225,10.0
226,38.0
227,29.0
228,12.0
229,18.0
230,130.0
231,19.0
232,92.0
233,74.0
234,85.0
235,97.0
236,93.0
237,76.0
238,11.0
239,83.0
240,67.0
241,91.0
242,11.0
243,153.0
244,139.0
245,128.0
246,131.0
247,147.0
248,110.0
249,122.0
250,122.0
251,129.0
252,161.0
253,119.0
254,145.0
255,131.0
256,135.0
257,133.0
258,125.0
259,131.0
260,119.0
261,127.0
262,126.0
263,141.0
264,136.0
265,148.0
266,160.0
267,151.0
268,141.0
269,119.0
270,135.0
271,132.0
272,133.0
273,128.0
274,132.0
275,146.0
276,123.0
277,128.0
278,144.0
279,153.0
280,137.0
281,150.0
282,132.0
283,147.0
284,132.0
285,146.0
286,153.0
287,151.0
288,145.0
289,137.0
290,161.0
291,131.0
292,157.0
293,125.0
294,129.0
295,139.0
296,138.0
297,134.0
298,143.0
299,155.0
300,144.0
301,130.0
302,148.0
303,152.0
304,160.0
305,136.0
306,129.0
307,136.0
308,137.0
309,136.0
310,146.0
311,155.0
312,141.0
313,139.0
314,146.0
315,148.0
316,192.0
317,218.0
318,173.0
319,156.0
320,203.0
321,137.0
322,149.0
323,179.0
324,161.0
325,157.0
326,161.0
327,163.0
328,160.0
329,233.0
330,203.0
331,159.0
332,202.0
333,171.0
334,135.0
335,202.0
336,134.0
337,191.0
338,179.0
339,229.0
340,245.0
341,222.0
342,219.0
343,239.0
344,479.0
